post_id,title,category,score,num_comments,author,collection_time
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,217,29,WerWolv,2026-04-09 09:21:47
47687273,Git commands I run before reading any code,technology,1865,392,grepsedawk,2026-04-09 09:21:54
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,technology,268,49,chrsw,2026-04-09 09:21:56
47696035,John Deere to pay $99M in right-to-repair settlement,technology,214,56,CharlesW,2026-04-09 09:21:59
47685945,We moved Railway's frontend off Next.js. Builds went from 10+ mins to under 2,technology,188,176,bundie,2026-04-09 09:22:04
47693679,I've been waiting over a month for Anthropic to respond to my billing issue,technology,303,147,nickvec,2026-04-09 09:22:06
47689237,US cities are axing Flock Safety surveillance technology,technology,656,385,giuliomagnifico,2026-04-09 09:22:07
47689319,Show HN: Skrun – Deploy any agent skill as an API,technology,49,9,frizull,2026-04-09 09:22:11
47674606,Show HN: Unicode Steganography,technology,47,14,PatrickVuscan,2026-04-09 09:22:15
47656518,Your File System Is Already A Graph Database,technology,164,71,alxndr,2026-04-09 09:22:16
47692661,Show HN: TUI-use: Let AI agents control interactive terminal programs,technology,38,35,dreamsome,2026-04-09 09:22:18
47679121,Project Glasswing: Securing critical software for the AI era,technology,1483,797,Ryan5453,2026-04-09 09:22:25
47696558,Finetuning Activates Verbatim Recall of Copyrighted Books in LLMs,technology,5,1,guitarlimeo,2026-04-09 09:22:31
47624572,A database of analog cameras that can be 3D printed,technology,156,26,thomasjb,2026-04-09 09:22:34
47694093,"One item purchased, ten emails",technology,113,90,speckx,2026-04-09 09:22:41
47696210,AMD AI director says Claude Code is becoming dumber and lazier since update,technology,32,9,Logans_Run,2026-04-09 09:22:47
47672295,Every GPU That Mattered,technology,328,202,jonbaer,2026-04-09 09:22:52
47695647,The AI Great Leap Forward,technology,83,40,jodah,2026-04-09 09:22:54
47696336,Show HN: I built a local data lake for AI powered data engineering and analytics,technology,8,4,vpfaiz,2026-04-09 09:22:56
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",technology,15,0,russellharper,2026-04-09 09:23:02
47664836,AI helps add 10k more photos to OldNYC,technology,141,50,evakhoury,2026-04-09 09:23:06
47675625,Cloudflare targets 2029 for full post-quantum security,technology,378,112,ilreb,2026-04-09 09:23:09
47691313,"Databricks co-founder wins prestigious ACM award, says 'AGI is here already'",technology,7,3,salkahfi,2026-04-09 09:23:11
47675013,Dropping Cloudflare for Bunny.net,technology,409,204,shintoist,2026-04-09 09:23:21
47672318,Blackholing My Email,technology,177,35,semyonsh,2026-04-09 09:23:22
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,291,304,chabons,2026-04-09 09:21:52
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,608,251,zixuanlimit,2026-04-09 09:22:44
47680124,IPv6 is the only way forward,worldnews,96,289,quaintdev,2026-04-09 09:23:05
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,112,26,rryan,2026-04-09 09:23:14
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,121,19,ductionist,2026-04-09 09:23:38
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,322,158,Bender,2026-04-09 09:24:18
47690049,Amazon rewards loyal Kindle devotees by closing the book on old e-readers,worldnews,33,22,beardyw,2026-04-09 09:24:20
47693799,Food shock is inevitable due to the Iran war,worldnews,13,2,measurablefunc,2026-04-09 09:24:28
47629021,Global Physics Photowalk: 2025 winners revealed,worldnews,26,1,ibobev,2026-04-09 09:24:29
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,315,90,player_piano,2026-04-09 09:24:38
47683613,ICE acknowledges it is using powerful spyware,worldnews,66,8,dnemmers,2026-04-09 09:24:44
47692291,"Digital Hopes, Real Power: How the Arab Spring Fueled a Global Surveillance Boom",worldnews,12,0,hn_acker,2026-04-09 09:24:50
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,29,11,brene,2026-04-09 09:25:06
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,976,620,zaikunzhang,2026-04-09 09:25:16
47686058,Inside a huge compound where 10k workers scammed people globally,worldnews,8,0,ece,2026-04-09 09:26:56
47680611,"Iranian hackers launching disruptive attacks at U.S. energy, water targets [pdf]",worldnews,32,6,lschueller,2026-04-09 09:27:44
47675835,Wireless Festival cancelled after government stops Kanye West entering UK,worldnews,13,1,manarth,2026-04-09 09:28:05
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,77,42,1659447091,2026-04-09 09:28:41
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,95,29,pruz,2026-04-09 09:22:24
47654629,The Harvard Library Passport,sports,39,15,fi-le,2026-04-09 09:23:01
47672778,Breaking the console: a brief history of video game security,sports,95,26,sprado,2026-04-09 09:23:33
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,537,163,akyuu,2026-04-09 09:24:13
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,306,191,keepamovin,2026-04-09 09:24:30
